
                             - The Restaurant -                             

Chf      Wtr      Std1     Std2     Std3     Std4     Std5     Std6     Std7     

WFAO     AS       GTTR     GTTR     GTTR     GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     GTTR     GTTR     GTTR     TASATT   GTTR     GTTR     
WFAO     TTO      GTTR     GTTR     GTTR     GTTR     TASATT   GTTR     GTTR     
WFAO     AS       GTTR     GTTR     GTTR     GTTR     TASATT   GTTR     GTTR     
WFAO     AS       GTTR     GTTR     GTTR     GTTR     STC      GTTR     GTTR     
WFAO     AS       GTTR     GTTR     GTTR     GTTR     STC      GTTR     TASATT   
WFAO     AS       GTTR     GTTR     GTTR     GTTR     OTO      GTTR     TASATT   
WFAO     TTO      GTTR     GTTR     GTTR     GTTR     OTO      GTTR     TASATT   
WFAO     TTO      GTTR     GTTR     GTTR     GTTR     OTO      GTTR     STC      
WFAO     AS       GTTR     GTTR     GTTR     GTTR     OTO      GTTR     STC      
WFAO     AS       GTTR     GTTR     GTTR     GTTR     OTO      GTTR     CWC      
WFAO     AS       GTTR     GTTR     GTTR     GTTR     OTO      TASATT   CWC      
WFAO     TTO      GTTR     GTTR     GTTR     GTTR     OTO      TASATT   CWC      
WFAO     AS       GTTR     GTTR     GTTR     GTTR     OTO      TASATT   CWC      
WFAO     AS       GTTR     GTTR     GTTR     GTTR     OTO      STC      CWC      
WFAO     AS       GTTR     GTTR     GTTR     TASATT   OTO      STC      CWC      
WFAO     AS       GTTR     GTTR     GTTR     TASATT   OTO      CWC      CWC      
WFAO     TTO      GTTR     GTTR     GTTR     TASATT   OTO      CWC      CWC      
WFAO     AS       GTTR     GTTR     GTTR     TASATT   OTO      CWC      CWC      
WFAO     AS       GTTR     GTTR     GTTR     STC      OTO      CWC      CWC      
WFAO     AS       TASATT   GTTR     GTTR     STC      OTO      CWC      CWC      
WFAO     AS       TASATT   GTTR     GTTR     CWC      OTO      CWC      CWC      
WFAO     TTO      TASATT   GTTR     GTTR     CWC      OTO      CWC      CWC      
WFAO     AS       TASATT   GTTR     GTTR     CWC      OTO      CWC      CWC      
WFAO     AS       STC      GTTR     GTTR     CWC      OTO      CWC      CWC      
WFAO     AS       STC      GTTR     TASATT   CWC      OTO      CWC      CWC      
WFAO     AS       CWC      GTTR     TASATT   CWC      OTO      CWC      CWC      
