
                             - The Restaurant -                             

Chf      Wtr      Std1     Std2     Std3     Std4     Std5     Std6     Std7     

WFAO     AS       GTTR     GTTR     GTTR     GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     GTTR     TASATT   GTTR     GTTR     GTTR     GTTR     
WFAO     PTM      GTTR     GTTR     TASATT   GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     GTTR     TASATT   GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     TASATT   TASATT   GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     TASATT   STC      GTTR     GTTR     GTTR     GTTR     
WFAO     PTM      GTTR     TASATT   STC      GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     TASATT   STC      GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     TASATT   OTO      GTTR     GTTR     GTTR     GTTR     
WFAO     AS       GTTR     TASATT   OTO      GTTR     GTTR     GTTR     TASATT   
WFAO     AS       GTTR     STC      OTO      GTTR     GTTR     GTTR     TASATT   
WFAO     AS       GTTR     CWC      OTO      GTTR     GTTR     GTTR     TASATT   
WFAO     PTM      GTTR     CWC      OTO      GTTR     GTTR     GTTR     TASATT   
WFAO     AS       GTTR     CWC      OTO      GTTR     GTTR     GTTR     TASATT   
WFAO     AS       GTTR     CWC      OTO      GTTR     GTTR     GTTR     STC      
WFAO     AS       GTTR     CWC      OTO      GTTR     GTTR     GTTR     CWC      
WFAO     AS       TASATT   CWC      OTO      GTTR     GTTR     GTTR     CWC      
WFAO     PTM      TASATT   CWC      OTO      GTTR     GTTR     GTTR     CWC      
WFAO     PTM      STC      CWC      OTO      GTTR     GTTR     GTTR     CWC      
WFAO     PTM      CWC      CWC      OTO      GTTR     GTTR     GTTR     CWC      
WFAO     AS       CWC      CWC      OTO      GTTR     GTTR     GTTR     CWC      
WFAO     AS       CWC      CWC      OTO      GTTR     TASATT   GTTR     CWC      
WFAO     PTM      CWC      CWC      OTO      GTTR     TASATT   GTTR     CWC      
WFAO     AS       CWC      CWC      OTO      GTTR     TASATT   GTTR     CWC      
WFAO     AS       CWC      CWC      OTO      GTTR     STC      GTTR     CWC      
WFAO     AS       CWC      CWC      OTO      GTTR     CWC      GTTR     CWC      
WFAO     AS       CWC      CWC      OTO      GTTR     CWC      TASATT   CWC      
